Value;CDF
-479.7979797979798;11.0
-459.5959595959596;21.0
-439.3939393939394;40.0
-419.19191919191917;49.0
-388.8888888888889;62.0
-378.7878787878788;69.0
-348.4848484848485;82.0
-328.2828282828283;91.0
-318.1818181818182;98.0
-308.0808080808081;106.0
-277.7777777777778;121.0
-257.5757575757576;130.0
-237.3737373737374;139.0
-207.0707070707071;152.0
-186.8686868686869;162.0
-176.7676767676768;167.0
-156.56565656565658;179.0
-136.36363636363637;189.0
-106.06060606060606;199.0
-85.85858585858591;211.0
-65.6565656565657;219.0
-45.454545454545496;228.0
-15.151515151515184;238.0
-5.05050505050508;246.0
15.151515151515127;258.0
35.353535353535335;265.0
55.55555555555554;280.0
75.75757575757575;287.0
95.95959595959596;300.0
116.16161616161617;310.0
126.26262626262621;318.0
146.46464646464642;328.0
156.56565656565647;336.0
166.66666666666663;346.0
196.96969696969688;360.0
217.1717171717171;367.0
237.3737373737373;378.0
257.5757575757575;384.0
277.7777777777777;394.0
297.9797979797979;409.0
318.18181818181813;417.0
348.4848484848484;429.0
358.58585858585855;435.0
378.78787878787875;448.0
398.98989898989896;456.0
429.2929292929292;468.0
449.4949494949494;478.0
479.7979797979797;490.0
489.89898989898984;493.0
500.0;500.0
