Value;CDF
-479.7979797979798;15.0
-469.6969696969697;25.0
-459.5959595959596;33.0
-439.3939393939394;45.0
-419.19191919191917;56.0
-409.0909090909091;66.0
-378.7878787878788;75.0
-368.6868686868687;84.0
-358.5858585858586;92.0
-338.3838383838384;99.0
-318.1818181818182;112.0
-308.0808080808081;121.0
-287.8787878787879;134.0
-267.67676767676767;145.0
-247.4747474747475;152.0
-227.2727272727273;159.0
-207.0707070707071;171.0
-176.7676767676768;184.0
-156.56565656565658;194.0
-136.36363636363637;204.0
-106.06060606060606;214.0
-95.95959595959596;218.0
-65.6565656565657;233.0
-55.5555555555556;239.0
-25.252525252525288;252.0
-5.05050505050508;262.0
15.151515151515127;271.0
45.45454545454538;281.0
65.65656565656559;289.0
95.95959595959596;302.0
116.16161616161617;312.0
136.36363636363637;319.0
176.76767676767668;332.0
207.07070707070704;351.0
237.3737373737373;361.0
257.5757575757575;371.0
267.67676767676767;373.0
287.8787878787879;391.0
297.9797979797979;398.0
318.18181818181813;408.0
338.38383838383834;416.0
358.58585858585855;430.0
368.6868686868686;434.0
388.8888888888888;449.0
409.090909090909;457.0
439.3939393939394;468.0
459.5959595959596;475.0
479.7979797979797;486.0
500.0;500.0
