Value;Frequency
-500.0;3
-489.8989898989899;1
-479.7979797979798;7
-469.6969696969697;4
-459.5959595959596;6
-449.4949494949495;13
-439.3939393939394;6
-429.29292929292933;4
-419.19191919191917;5
-409.0909090909091;6
-398.98989898989896;2
-388.8888888888889;5
-378.7878787878788;7
-368.6868686868687;5
-358.5858585858586;3
-348.4848484848485;5
-338.3838383838384;5
-328.2828282828283;4
-318.1818181818182;7
-308.0808080808081;8
-297.979797979798;7
-287.8787878787879;4
-277.7777777777778;4
-267.67676767676767;5
-257.5757575757576;4
-247.4747474747475;4
-237.3737373737374;5
-227.2727272727273;4
-217.1717171717172;3
-207.0707070707071;6
-196.969696969697;4
-186.8686868686869;6
-176.7676767676768;5
-166.66666666666669;6
-156.56565656565658;6
-146.46464646464648;7
-136.36363636363637;3
-126.26262626262627;4
-116.16161616161617;2
-106.06060606060606;4
-95.95959595959596;5
-85.85858585858591;7
-75.75757575757581;4
-65.6565656565657;4
-55.5555555555556;5
-45.454545454545496;4
-35.35353535353539;7
-25.252525252525288;1
-15.151515151515184;2
-5.05050505050508;8
5.0505050505050235;8
15.151515151515127;4
25.252525252525174;6
35.353535353535335;1
45.45454545454538;8
55.55555555555554;7
65.65656565656559;2
75.75757575757575;5
85.8585858585858;8
95.95959595959596;5
106.060606060606;7
116.16161616161617;3
126.26262626262621;8
136.36363636363637;7
146.46464646464642;3
156.56565656565647;8
166.66666666666663;10
176.76767676767668;5
186.86868686868684;5
196.96969696969688;4
207.07070707070704;2
217.1717171717171;5
227.27272727272725;4
237.3737373737373;7
247.47474747474746;4
257.5757575757575;2
267.67676767676767;8
277.7777777777777;2
287.8787878787879;10
297.9797979797979;5
308.0808080808081;5
318.18181818181813;3
328.2828282828282;5
338.38383838383834;5
348.4848484848484;2
358.58585858585855;6
368.6868686868686;7
378.78787878787875;6
388.8888888888888;3
398.98989898989896;5
409.090909090909;5
419.19191919191917;3
429.2929292929292;4
439.3939393939394;5
449.4949494949494;5
459.5959595959596;3
469.69696969696963;5
479.7979797979797;4
489.89898989898984;3
500.0;7
