Value;Frequency
-500.0;7
-489.8989898989899;3
-479.7979797979798;5
-469.6969696969697;10
-459.5959595959596;8
-449.4949494949495;7
-439.3939393939394;5
-429.29292929292933;9
-419.19191919191917;2
-409.0909090909091;10
-398.98989898989896;1
-388.8888888888889;4
-378.7878787878788;4
-368.6868686868687;9
-358.5858585858586;8
-348.4848484848485;5
-338.3838383838384;2
-328.2828282828283;8
-318.1818181818182;5
-308.0808080808081;9
-297.979797979798;8
-287.8787878787879;5
-277.7777777777778;4
-267.67676767676767;7
-257.5757575757576;5
-247.4747474747475;2
-237.3737373737374;4
-227.2727272727273;3
-217.1717171717172;6
-207.0707070707071;6
-196.969696969697;5
-186.8686868686869;4
-176.7676767676768;4
-166.66666666666669;4
-156.56565656565658;6
-146.46464646464648;9
-136.36363636363637;1
-126.26262626262627;3
-116.16161616161617;5
-106.06060606060606;2
-95.95959595959596;4
-85.85858585858591;6
-75.75757575757581;6
-65.6565656565657;3
-55.5555555555556;6
-45.454545454545496;5
-35.35353535353539;5
-25.252525252525288;3
-15.151515151515184;5
-5.05050505050508;5
5.0505050505050235;4
15.151515151515127;5
25.252525252525174;4
35.353535353535335;3
45.45454545454538;3
55.55555555555554;6
65.65656565656559;2
75.75757575757575;4
85.8585858585858;3
95.95959595959596;6
106.060606060606;5
116.16161616161617;5
126.26262626262621;1
136.36363636363637;6
146.46464646464642;4
156.56565656565647;4
166.66666666666663;2
176.76767676767668;3
186.86868686868684;13
196.96969696969688;3
207.07070707070704;3
217.1717171717171;2
227.27272727272725;4
237.3737373737373;4
247.47474747474746;5
257.5757575757575;5
267.67676767676767;2
277.7777777777777;10
287.8787878787879;8
297.9797979797979;7
308.0808080808081;7
318.18181818181813;3
328.2828282828282;6
338.38383838383834;2
348.4848484848484;8
358.58585858585855;6
368.6868686868686;4
378.78787878787875;10
388.8888888888888;5
398.98989898989896;2
409.090909090909;6
419.19191919191917;5
429.2929292929292;3
439.3939393939394;3
449.4949494949494;3
459.5959595959596;4
469.69696969696963;6
479.7979797979797;5
489.89898989898984;8
500.0;6
