Value;CDF
-479.7979797979798;7.0
-469.6969696969697;19.0
-449.4949494949495;32.0
-429.29292929292933;42.0
-419.19191919191917;52.0
-398.98989898989896;63.0
-378.7878787878788;67.0
-358.5858585858586;81.0
-338.3838383838384;93.0
-328.2828282828283;100.0
-308.0808080808081;110.0
-277.7777777777778;119.0
-257.5757575757576;130.0
-237.3737373737374;142.0
-227.2727272727273;150.0
-196.969696969697;162.0
-176.7676767676768;172.0
-156.56565656565658;182.0
-136.36363636363637;189.0
-116.16161616161617;202.0
-106.06060606060606;204.0
-85.85858585858591;216.0
-65.6565656565657;230.0
-45.454545454545496;239.0
-35.35353535353539;249.0
-15.151515151515184;258.0
5.0505050505050235;269.0
25.252525252525174;279.0
45.45454545454538;289.0
65.65656565656559;300.0
85.8585858585858;306.0
116.16161616161617;320.0
146.46464646464642;331.0
166.66666666666663;338.0
196.96969696969688;350.0
217.1717171717171;360.0
237.3737373737373;370.0
247.47474747474746;378.0
257.5757575757575;384.0
277.7777777777777;398.0
308.0808080808081;405.0
328.2828282828282;416.0
338.38383838383834;422.0
368.6868686868686;438.0
398.98989898989896;449.0
429.2929292929292;459.0
439.3939393939394;465.0
459.5959595959596;475.0
479.7979797979797;487.0
500.0;500.0
