Value;CDF
-479.7979797979798;13.0
-449.4949494949495;24.0
-429.29292929292933;34.0
-409.0909090909091;44.0
-398.98989898989896;49.0
-378.7878787878788;63.0
-348.4848484848485;74.0
-328.2828282828283;84.0
-308.0808080808081;92.0
-297.979797979798;95.0
-267.67676767676767;111.0
-247.4747474747475;122.0
-207.0707070707071;132.0
-196.969696969697;137.0
-176.7676767676768;150.0
-166.66666666666669;161.0
-156.56565656565658;167.0
-126.26262626262627;183.0
-116.16161616161617;188.0
-85.85858585858591;202.0
-65.6565656565657;213.0
-45.454545454545496;220.0
-25.252525252525288;231.0
-5.05050505050508;242.0
15.151515151515127;251.0
35.353535353535335;260.0
65.65656565656559;268.0
85.8585858585858;282.0
95.95959595959596;289.0
116.16161616161617;299.0
126.26262626262621;308.0
136.36363636363637;316.0
156.56565656565647;332.0
166.66666666666663;336.0
196.96969696969688;349.0
207.07070707070704;359.0
217.1717171717171;369.0
237.3737373737373;379.0
257.5757575757575;389.0
267.67676767676767;399.0
287.8787878787879;408.0
297.9797979797979;417.0
328.2828282828282;430.0
348.4848484848484;440.0
358.58585858585855;450.0
378.78787878787875;456.0
409.090909090909;468.0
429.2929292929292;478.0
469.69696969696963;489.0
489.89898989898984;497.0
500.0;500.0
