Value;Frequency
-500.0;6
-489.8989898989899;2
-479.7979797979798;8
-469.6969696969697;3
-459.5959595959596;5
-449.4949494949495;7
-439.3939393939394;2
-429.29292929292933;7
-419.19191919191917;4
-409.0909090909091;4
-398.98989898989896;6
-388.8888888888889;4
-378.7878787878788;6
-368.6868686868687;9
-358.5858585858586;6
-348.4848484848485;7
-338.3838383838384;4
-328.2828282828283;3
-318.1818181818182;7
-308.0808080808081;4
-297.979797979798;6
-287.8787878787879;3
-277.7777777777778;2
-267.67676767676767;5
-257.5757575757576;4
-247.4747474747475;9
-237.3737373737374;3
-227.2727272727273;5
-217.1717171717172;4
-207.0707070707071;9
-196.969696969697;2
-186.8686868686869;3
-176.7676767676768;6
-166.66666666666669;5
-156.56565656565658;4
-146.46464646464648;10
-136.36363636363637;3
-126.26262626262627;7
-116.16161616161617;8
-106.06060606060606;2
-95.95959595959596;4
-85.85858585858591;8
-75.75757575757581;6
-65.6565656565657;5
-55.5555555555556;5
-45.454545454545496;3
-35.35353535353539;6
-25.252525252525288;2
-15.151515151515184;4
-5.05050505050508;2
5.0505050505050235;9
15.151515151515127;3
25.252525252525174;4
35.353535353535335;1
45.45454545454538;4
55.55555555555554;6
65.65656565656559;6
75.75757575757575;4
85.8585858585858;4
95.95959595959596;6
106.060606060606;3
116.16161616161617;5
126.26262626262621;3
136.36363636363637;8
146.46464646464642;5
156.56565656565647;3
166.66666666666663;6
176.76767676767668;5
186.86868686868684;4
196.96969696969688;3
207.07070707070704;6
217.1717171717171;6
227.27272727272725;3
237.3737373737373;7
247.47474747474746;2
257.5757575757575;6
267.67676767676767;5
277.7777777777777;6
287.8787878787879;7
297.9797979797979;2
308.0808080808081;5
318.18181818181813;4
328.2828282828282;8
338.38383838383834;7
348.4848484848484;1
358.58585858585855;3
368.6868686868686;6
378.78787878787875;6
388.8888888888888;3
398.98989898989896;3
409.090909090909;9
419.19191919191917;7
429.2929292929292;7
439.3939393939394;2
449.4949494949494;10
459.5959595959596;7
469.69696969696963;10
479.7979797979797;1
489.89898989898984;5
500.0;5
