Value;Frequency
-500.0;3
-489.8989898989899;5
-479.7979797979798;4
-469.6969696969697;5
-459.5959595959596;6
-449.4949494949495;2
-439.3939393939394;7
-429.29292929292933;2
-419.19191919191917;9
-409.0909090909091;4
-398.98989898989896;4
-388.8888888888889;8
-378.7878787878788;6
-368.6868686868687;5
-358.5858585858586;2
-348.4848484848485;5
-338.3838383838384;5
-328.2828282828283;4
-318.1818181818182;8
-308.0808080808081;3
-297.979797979798;11
-287.8787878787879;2
-277.7777777777778;4
-267.67676767676767;4
-257.5757575757576;4
-247.4747474747475;5
-237.3737373737374;6
-227.2727272727273;5
-217.1717171717172;8
-207.0707070707071;4
-196.969696969697;3
-186.8686868686869;7
-176.7676767676768;6
-166.66666666666669;2
-156.56565656565658;3
-146.46464646464648;5
-136.36363636363637;2
-126.26262626262627;3
-116.16161616161617;4
-106.06060606060606;7
-95.95959595959596;10
-85.85858585858591;8
-75.75757575757581;7
-65.6565656565657;11
-45.454545454545496;2
-35.35353535353539;10
-25.252525252525288;2
-15.151515151515184;4
-5.05050505050508;4
5.0505050505050235;2
15.151515151515127;6
25.252525252525174;6
35.353535353535335;4
45.45454545454538;4
55.55555555555554;3
65.65656565656559;3
75.75757575757575;4
85.8585858585858;7
95.95959595959596;1
106.060606060606;2
116.16161616161617;2
126.26262626262621;1
136.36363636363637;5
146.46464646464642;3
156.56565656565647;1
166.66666666666663;10
176.76767676767668;7
186.86868686868684;5
196.96969696969688;5
207.07070707070704;5
217.1717171717171;7
227.27272727272725;4
237.3737373737373;4
247.47474747474746;6
257.5757575757575;6
267.67676767676767;7
277.7777777777777;3
287.8787878787879;5
297.9797979797979;11
308.0808080808081;3
318.18181818181813;10
328.2828282828282;5
338.38383838383834;6
348.4848484848484;6
358.58585858585855;3
368.6868686868686;4
378.78787878787875;9
388.8888888888888;4
398.98989898989896;5
409.090909090909;10
419.19191919191917;9
429.2929292929292;7
439.3939393939394;5
449.4949494949494;4
459.5959595959596;8
469.69696969696963;3
479.7979797979797;4
489.89898989898984;3
500.0;3
