IntervalRelMin,IntervalRelMax,NumberOfSamples,Dense,BatchSize,Epochs,TrainLoss,ValLoss,CustomMetrics_Small_rectangles_finalValue,CustomMetrics_Mid_rectangles_finalValue,CustomMetrics_Huge_rectangles_finalValue
0.05,0.25,500,[32],50,500,0.0011972844367846847,0.0019335945835337047,0.009400510229170322,0.00664966506883502,0.0019460609182715414
0.05,0.25,500,[64],50,500,0.0037588204722851523,0.004572987090796232,0.01126996520906687,0.01075893733650446,0.0037430117372423406
0.05,0.25,500,[128],50,500,0.001858680392615497,0.003166401758790016,0.013848974369466305,0.008663606829941273,0.003523182356730103
0.05,0.25,500,"[64, 64, 64]",50,800,0.00032823949004523456,0.0009002914885058998,0.004586823284626007,0.003707807743921876,0.0010021345224231482
0.05,0.25,500,"[64, 64, 64, 64]",50,800,0.0004655885568354278,0.0009292861795984207,0.007297184783965348,0.004496470559388399,0.000996707589365542
0.05,0.25,500,"[64, 64, 64, 64, 64]",50,1100,0.0002035248326137662,0.0005913240020163357,0.002244284376502037,0.001983389025554061,0.0005392104503698647
0.05,0.25,500,"[64, 64, 64, 64, 64, 64]",50,1400,0.00019615724158938966,0.0006100581376813352,0.003585481317713857,0.002574153011664748,0.0009948109509423377
0.05,0.25,500,"[64, 64]",50,500,0.0009209837298840283,0.0016726581379771233,0.0096563883125782,0.006429081782698631,0.0024852845817804337
0.05,0.25,500,"[64, 128, 64]",50,900,0.0006410499336197972,0.0010591174941509962,0.006962828803807497,0.005138562992215157,0.0007531841984018682
0.05,0.25,500,"[256, 512, 1024, 512, 256]",50,1700,0.00014457870565820483,0.000562163011636585,0.0019346147309988735,0.0017588522750884295,0.0011244190391153095
0.05,0.25,500,"[256, 512, 1024, 512, 512, 256]",50,2100,0.0006280611851252615,0.000816432642750442,0.004484216682612896,0.003522319020703435,0.0008495491347275674
0.3,0.9,1000,[32],50,500,8.195362897822633e-05,0.00013690332707483321,0.010681494139134884,0.01106521300971508,0.0023451787419617176
0.3,0.9,1000,[64],50,500,7.806115900166333e-05,0.00017193928943015638,0.014431650750339031,0.013711106032133102,0.0020024774130433802
0.3,0.9,1000,[128],50,500,0.003114445833489299,0.0013436275767162444,0.01555153261870146,0.013744915835559368,0.003518266137689352
0.3,0.9,1000,"[64, 64, 64]",50,800,3.4825574402930215e-05,0.00020938352099619806,0.021317439153790474,0.01696212962269783,0.0043374039232730865
0.3,0.9,1000,"[64, 64, 64, 64]",50,800,1.7146805475931615e-05,9.285470878239721e-05,0.014622991904616356,0.011419251561164856,0.0029090046882629395
